ID	chrom	loc.start	loc.end	num.mark	seg.mean
GSM525799.txt	1	564434	1206910	70	0.2139
GSM525799.txt	1	1211021	2833771	219	0.597
GSM525799.txt	1	2857547	48877106	4476	0.142
GSM525799.txt	1	48884005	49089105	18	0.7093
GSM525799.txt	1	49097999	63476239	1295	0.0962
GSM525799.txt	1	63512468	72761297	790	-0.862
GSM525799.txt	1	72777689	72795450	2	-5.2171
GSM525799.txt	1	72830038	111100069	2713	-0.8861
GSM525799.txt	1	111122522	148946699	1078	0.1032
GSM525799.txt	1	149041042	149232451	9	-2.4502
GSM525799.txt	1	149660689	248688631	8773	0.0532
GSM525799.txt	1	248727928	248808398	12	-0.8785
GSM525799.txt	1	248814256	249224120	33	0.1022
GSM525799.txt	2	30370	243068369	18683	0.0394
GSM525799.txt	3	64095	12833885	1158	-0.8651
GSM525799.txt	3	12851383	13102851	23	0.1435
GSM525799.txt	3	13128757	37533501	1821	-0.886
GSM525799.txt	3	37549560	37767562	25	-4.6155
GSM525799.txt	3	37772927	38330235	78	-0.7839
GSM525799.txt	3	38347022	160126303	9797	0.0539
GSM525799.txt	3	160129784	160401770	32	0.6288
GSM525799.txt	3	160406416	162504792	125	0.0658
GSM525799.txt	3	162514563	162971393	34	-0.4157
GSM525799.txt	3	162983163	195432503	2640	0.0468
GSM525799.txt	3	195438698	195456513	4	-1.2242
GSM525799.txt	3	195457736	197895198	271	0.0616
GSM525799.txt	4	51439	69223104	4558	0.0106
GSM525799.txt	4	69375169	69483247	11	-3.244
GSM525799.txt	4	69608712	141372627	5289	0.0232
GSM525799.txt	4	141378081	141386117	4	1.3221
GSM525799.txt	4	141396054	173422554	2381	0.01
GSM525799.txt	4	173429526	173429526	3	2.4803
GSM525799.txt	4	173440159	190936864	1259	0.0015
GSM525799.txt	5	22178	180712233	13355	0.0289
GSM525799.txt	6	152663	293466	11	-0.2339
GSM525799.txt	6	307968	396415	10	-0.8117
GSM525799.txt	6	402045	32387965	2959	0.0564
GSM525799.txt	6	32393427	32450721	4	-0.5854
GSM525799.txt	6	32459433	32493013	4	-1.8605
GSM525799.txt	6	32497351	74202018	3279	0.0482
GSM525799.txt	6	74210772	78926586	306	-0.9382
GSM525799.txt	6	78979201	79023298	3	-4.8641
GSM525799.txt	6	79045288	95456862	1027	-0.9137
